iter	MAPE
0	0.837907346
1	0.8294138467
2	0.8250653677
3	0.8229982755
4	0.8012289725
5	0.7971238141
6	0.7839294517
7	0.7566384852
8	0.7566006604
9	0.7550336734
10	0.7369360501
11	0.7364043299
12	0.7358250049
13	0.7188379348
14	0.7165828999
15	0.7130735735
16	0.6891503843
17	0.6717346327
18	0.6702794841
19	0.6683174128
20	0.6674438355
21	0.6543993641
22	0.6438883392
23	0.6434305353
24	0.6339683631
25	0.6268504018
26	0.6266854381
27	0.6265796765
28	0.6258760368
29	0.625354468
30	0.6156588291
31	0.6155919743
32	0.6072978923
33	0.6031631284
34	0.5998118248
35	0.5997324109
36	0.5996545852
37	0.5995995267
38	0.5937528989
39	0.5906360193
40	0.5891396151
41	0.5885908734
42	0.5885587953
43	0.5879889176
44	0.5875321377
45	0.5875040006
46	0.5859020423
47	0.5848142732
48	0.5844043931
49	0.5835088042
50	0.5834752497
51	0.5823276514
52	0.5820831394
53	0.5816327703
54	0.5816064647
55	0.5805521352
56	0.5805359335
57	0.5805267961
58	0.5802015904
59	0.5798780698
60	0.5795261704
61	0.5781932792
62	0.5781824675
63	0.5754329664
64	0.5750067712
65	0.5746534899
66	0.5733124411
67	0.5733042033
68	0.5732922423
69	0.5732310339
70	0.5701134663
71	0.5701074994
72	0.5697678228
73	0.5692037084
74	0.5686979751
75	0.5686749324
76	0.5684138195
77	0.5684082568
78	0.566742749
79	0.5667422156
80	0.5663079389
81	0.5659286952
82	0.565790685
83	0.565049711
84	0.5649473543
85	0.5646171856
86	0.5642155764
87	0.5642079721
88	0.5638668161
89	0.5624422842
90	0.55934968
91	0.5591464872
92	0.5591433167
93	0.5584860579
94	0.5584409059
95	0.5576033879
96	0.5565245789
97	0.5565211427
98	0.5562178573
99	0.5558535079
100	0.5557979588
101	0.5557932116
102	0.5557927328
103	0.5553121804
104	0.5553039725
105	0.5551984152
106	0.5548642988
107	0.5538258847
108	0.5530611325
109	0.5530477316
110	0.5527546989
111	0.5520839716
112	0.5507707933
113	0.5501543562
114	0.5499577789
115	0.549951324
116	0.5493741477
117	0.5491026055
118	0.5490947152
119	0.5488999023
120	0.5480052153
121	0.5475393013
122	0.546731417
123	0.546680345
124	0.5464064012
125	0.546405064
126	0.5463681718
127	0.5456652175
128	0.5456203696
129	0.5456191964
130	0.5450189727
131	0.5450070384
132	0.5448650821
133	0.544394413
134	0.54439095
135	0.5439653134
136	0.5439629925
137	0.5439484389
138	0.5439443028
139	0.5429181037
140	0.5412428822
141	0.5411727461
142	0.5411520758
143	0.5410660419
144	0.5409437868
145	0.5407871597
146	0.5402885214
147	0.5401653089
148	0.5393654055
149	0.5392737211
150	0.5392557096
151	0.539163124
152	0.5391475646
153	0.5390207144
154	0.5388580476
155	0.5387574442
156	0.5386688327
157	0.5385207189
158	0.5375685171
159	0.5375451296
160	0.5374834422
161	0.535090111
162	0.535084227
163	0.5349870405
164	0.534883
165	0.5345820818
166	0.5345715819
167	0.534070097
168	0.5340078238
169	0.5339737803
170	0.5332409923
171	0.533213095
172	0.5327750646
173	0.532770902
174	0.5327609197
175	0.5327600138
176	0.531893062
177	0.531682972
178	0.5316126484
179	0.5315339275
180	0.5315089908
181	0.5308619586
182	0.5307687597
183	0.5307614095
184	0.5307495417
185	0.5307439914
186	0.5306922559
187	0.5305256613
188	0.5305098108
189	0.5304983275
190	0.5304023555
191	0.5303862544
192	0.5303750377
193	0.5302780877
194	0.5302226256
195	0.5301377757
196	0.5301106063
197	0.5300830024
198	0.5300502054
199	0.5300105996
200	0.5299970403
201	0.5297697445
202	0.5296426047
203	0.529562903
204	0.5294934177
205	0.5294355384
206	0.5294029439
207	0.5292693012
208	0.528829195
209	0.528811451
210	0.5287847818
211	0.5287560628
212	0.5287244594
213	0.5287101265
214	0.528667815
215	0.5286350043
216	0.5285424227
217	0.5285274226
218	0.5284924688
219	0.5283824067
220	0.5283451858
221	0.5283409272
222	0.5283221503
223	0.5283078949
224	0.5282921921
225	0.528266831
226	0.5282333082
227	0.5282025943
228	0.5281518776
229	0.5280757429
230	0.5279995609
231	0.5272460097
232	0.5272165446
233	0.5271904324
234	0.5271472756
235	0.5271335161
236	0.5270870617
237	0.526965674
238	0.5269340504
239	0.5269003691
240	0.526871804
241	0.5268539203
242	0.5268390248
243	0.5268194179
244	0.5267869233
245	0.5267526324
246	0.5267025471
247	0.5265873975
248	0.5265624161
249	0.5264788307
250	0.5264677814
251	0.5264406647
252	0.5264221486
253	0.5263510173
254	0.5263084759
255	0.5262530873
256	0.5262262969
257	0.5261858751
258	0.5261638596
259	0.5261267091
260	0.5261008848
261	0.5260912719
262	0.5260589956
263	0.5260211401
264	0.5260178437
265	0.5259552892
266	0.5259447585
267	0.5259098409
268	0.5258880436
269	0.5258423377
270	0.5258072926
271	0.5257316214
272	0.5257066904
273	0.5256815384
274	0.5256784516
275	0.5256354062
276	0.5255966638
277	0.5254870567
278	0.5254706007
279	0.5254538359
280	0.5254486882
281	0.5254102542
282	0.5253441215
283	0.5252653867
284	0.5251879291
285	0.5251737323
286	0.5251324537
287	0.5250996684
288	0.5250679809
289	0.5250319617
290	0.5249994255
291	0.5249954833
292	0.5249351432
293	0.5248938898
294	0.5248162973
295	0.5247947969
296	0.5247754465
297	0.5247251166
298	0.5247214745
299	0.5246803396
300	0.5246464577
301	0.5245896152
302	0.5245475724
303	0.5245058012
304	0.5244669873
305	0.5243676661
306	0.5243312795
307	0.524309222
308	0.524265118
309	0.5242508636
310	0.5242166503
311	0.5241682225
312	0.5241615747
313	0.52416128
314	0.5241579288
315	0.524113801
316	0.5240854788
317	0.5240266535
318	0.5240032452
319	0.5239767959
320	0.5239584675
321	0.523927428
322	0.5239101152
323	0.5239001477
324	0.5238968826
325	0.5238459461
326	0.5238279802
327	0.5238177836
328	0.5238107484
329	0.523795964
330	0.5237957267
331	0.5237955131
332	0.5237913664
333	0.5237375991
334	0.5236860401
335	0.523658424
336	0.523638598
337	0.5236283155
338	0.5236106601
339	0.5236081806
340	0.5235379984
341	0.5235243457
342	0.5235148277
343	0.5234992093
344	0.5234901691
345	0.5234789837
346	0.5234674165
347	0.5234647935
348	0.5234511351
349	0.5228414653
350	0.5228247022
351	0.5228233456
352	0.5227474731
353	0.5227264939
354	0.5226566919
355	0.5226549196
356	0.5226525893
357	0.5226088457
358	0.5225959302
359	0.5225956564
360	0.5225852745
361	0.5225825774
362	0.5225722395
363	0.5225691269
364	0.5225233709
365	0.5224934147
366	0.522487374
367	0.5224858352
368	0.5224844502
369	0.5224551136
370	0.5224184453
371	0.5223417289
372	0.5223200077
373	0.5223162638
374	0.5223071239
375	0.5223038771
376	0.522302329
377	0.522287761
378	0.5222875374
379	0.5222866054
380	0.5222329497
381	0.5222234214
382	0.5221781552
383	0.5221321116
384	0.5221148623
385	0.5220838925
386	0.5220562718
387	0.5220504386
388	0.5219658871
389	0.5219614752
390	0.5218875429
391	0.5217360321
392	0.5217157554
393	0.5217115794
394	0.5217079039
395	0.5217011492
396	0.5216997568
397	0.5217028606
398	0.5216993938
399	0.5216962736
400	0.5216985977
401	0.5216314457
402	0.5215831408
403	0.5215853873
404	0.5215840463
405	0.5215155638
406	0.5215101002
407	0.5215076771
408	0.5214890943
409	0.5214869133
410	0.5214867085
411	0.5214854364
412	0.5214766365
413	0.5214346521
414	0.5214330297
415	0.5214319104
416	0.521430465
417	0.5214291094
418	0.5214279268
419	0.5213949757
420	0.5213361515
421	0.5213359677
422	0.5213358776
423	0.5213351519
424	0.521335919
425	0.5213166756
426	0.5213140247
427	0.521311427
428	0.521311382
429	0.5213085823
430	0.5212864934
431	0.5212805267
432	0.5212392694
433	0.5212387626
434	0.5212387302
435	0.5212387011
436	0.5212376792
437	0.5212375656
438	0.5212317127
439	0.5212310136
440	0.5212299945
441	0.5212073367
442	0.5211808056
443	0.5211647571
444	0.5211646942
445	0.5211646443
446	0.5211645782
447	0.5211430866
448	0.5211324629
449	0.5209382242
450	0.5209377822
451	0.5209374041
452	0.5209375608
453	0.5209272971
454	0.5209213643
455	0.52089939
456	0.5208574249
457	0.5208479284
458	0.5208417958
459	0.5205202798
460	0.5205081992
461	0.5205081886
462	0.520499315
463	0.5204663014
464	0.5204662851
465	0.520459598
466	0.5204257521
467	0.5204248812
468	0.5204248564
469	0.5204248287
470	0.5204023001
471	0.5204022671
472	0.5203951001
473	0.5203596264
474	0.5203595935
475	0.5203595639
476	0.5203567754
477	0.5203469945
478	0.5203412843
479	0.5203165656
480	0.5203104851
481	0.5202676029
482	0.5202031744
483	0.5202031453
484	0.5202022277
485	0.5201973364
486	0.5201774045
487	0.5201733324
488	0.5201732873
489	0.5201732618
490	0.5201662647
491	0.5201657016
492	0.5201655177
493	0.5201654998
494	0.5201652326
495	0.5201654252
496	0.520165411
497	0.5201651345
498	0.5201638254
499	0.5201608776
500	0.520123768
501	0.5201174003
502	0.5201050459
503	0.5201004815
