iter	Passed	Remaining
0	508	5085589
1	880	4403452
2	1206	4020095
3	1476	3689346
4	1786	3572066
5	2120	3532602
6	2410	3441386
7	2689	3359001
8	3014	3346043
9	3301	3298589
10	3640	3306009
11	3939	3279209
12	4230	3249956
13	4551	3246299
14	4839	3221392
15	5133	3203525
16	5401	3172117
17	5700	3161471
18	5972	3137518
19	6271	3129591
20	6562	3118545
21	6886	3123432
22	7148	3101034
23	7429	3088066
24	7729	3084249
25	8056	3090756
26	8345	3082658
27	8607	3065533
28	8857	3045522
29	9087	3019982
30	9405	3024707
31	9687	3017804
32	9992	3017983
33	10237	3000715
34	10429	2969289
35	10717	2966430
36	11018	2966880
37	11316	2966773
38	11656	2977268
39	11899	2963060
40	12188	2960706
41	12475	2957885
42	12754	2953426
43	13147	2974937
44	13429	2970982
45	13724	2969864
46	14032	2971693
47	14346	2974409
48	14633	2971723
49	14939	2972951
50	15234	2972010
51	15517	2968571
52	15824	2969886
53	16116	2968440
54	16392	2964033
55	16728	2970539
56	17040	2972456
57	17320	2968980
58	17613	2967740
59	17888	2963520
60	18171	2960714
61	18492	2964160
62	18783	2962705
63	19105	2966055
64	19380	2962249
65	19651	2957851
66	19988	2963398
67	20269	2960494
68	20561	2959339
69	20858	2958887
70	21182	2962287
71	21459	2958980
72	21704	2951473
73	21996	2950528
74	22256	2945224
75	22553	2944979
76	22842	2943670
77	23136	2943072
78	23438	2943480
79	23729	2942416
80	24022	2941691
81	24308	2940168
82	24602	2939605
83	24858	2934493
84	25151	2933793
85	25394	2927466
86	25676	2925610
87	25969	2925088
88	26250	2923273
89	26457	2913288
90	26794	2917665
91	27037	2911775
92	27319	2910252
93	27637	2912491
94	27917	2910723
95	28136	2902725
96	28455	2905090
97	28757	2905721
98	29078	2908139
99	29270	2897780
100	29529	2894209
101	29719	2883924
102	30025	2885033
103	30295	2882702
104	30628	2886345
105	30944	2888338
106	31289	2893004
107	31672	2900989
108	32001	2903949
109	32343	2907977
110	32660	2909703
111	32958	2909801
112	33295	2913176
113	33626	2916045
114	33873	2911662
115	34160	2910723
116	34463	2911121
117	34792	2913695
118	35130	2916992
119	35380	2913007
120	35661	2911557
121	35989	2913994
122	36291	2914224
123	36577	2913242
124	36875	2913149
125	37158	2911939
126	37457	2911950
127	37751	2911617
128	38029	2910012
129	38433	2917963
130	38757	2919814
131	39022	2917198
132	39275	2913755
133	39567	2913231
134	39947	2919151
135	40209	2916337
136	40574	2921085
137	40759	2912848
138	41124	2917467
139	41433	2918098
140	41741	2918669
141	42004	2916083
142	42293	2915277
143	42541	2911705
144	42826	2910750
145	43043	2905165
146	43343	2905173
147	43623	2903897
148	43943	2905274
149	44116	2896969
150	44420	2897339
151	44678	2894704
152	44948	2892834
153	45224	2891405
154	45501	2890069
155	45689	2883115
156	45831	2873349
157	46086	2870774
158	46355	2869110
159	46622	2867306
160	46953	2869417
161	47272	2870760
162	47651	2875761
163	47935	2874955
164	48074	2865559
165	48308	2861847
166	48590	2861007
167	48758	2853534
168	48905	2844935
169	49261	2848452
170	49569	2849211
171	49723	2841174
172	50003	2840351
173	50279	2839337
174	50559	2838567
175	50842	2837910
176	51155	2838961
177	51406	2836577
178	51717	2837524
179	52021	2838078
180	52315	2838061
181	52633	2839294
182	52906	2838167
183	53133	2834551
184	53532	2840091
185	53807	2839063
186	54089	2838421
187	54250	2831402
188	54535	2830958
189	54722	2825394
190	55018	2825520
191	55293	2824561
192	55559	2823162
193	55873	2824190
194	56079	2819797
195	56341	2818227
196	56622	2817620
197	56796	2811711
198	56917	2803281
199	57042	2795089
200	57455	2801006
201	57597	2793764
202	57754	2787299
203	58017	2785958
204	58320	2786604
205	58467	2779747
206	58690	2776603
207	59046	2779706
208	59267	2776518
209	59404	2769360
210	59574	2763883
211	59855	2763499
212	60026	2758106
213	60274	2756307
214	60472	2752193
215	60775	2752899
216	61072	2753334
217	61274	2749501
218	61408	2742619
219	61571	2737135
220	61866	2737516
221	62153	2737559
222	62471	2738926
223	62745	2738399
224	62930	2733973
225	63074	2727829
226	63364	2728043
227	63543	2723465
228	63696	2717812
229	63957	2716818
230	64103	2710932
231	64385	2710855
232	64521	2704625
233	64650	2698193
234	64784	2691986
235	64992	2688930
236	65312	2690498
237	65634	2692135
238	65885	2690848
239	66224	2693142
240	66487	2692334
241	66739	2691107
242	67013	2690723
243	67271	2689749
244	67579	2690774
245	67714	2684907
246	68028	2686150
247	68190	2681415
248	68478	2681679
249	68703	2679451
250	68924	2677068
251	69233	2678120
252	69607	2681659
253	69820	2679036
254	70115	2679529
255	70243	2673624
256	70540	2674227
257	70832	2674609
258	71101	2674113
259	71370	2673652
260	71526	2668951
261	71810	2669037
262	72013	2666149
263	72322	2667164
264	72600	2667055
265	72855	2666081
266	73109	2665081
267	73389	2665037
268	73662	2664702
269	73894	2662927
270	74107	2660504
271	74283	2656717
272	74551	2656258
273	74831	2656258
274	75142	2657317
275	75480	2659318
276	75662	2655827
277	75839	2652205
278	76102	2651597
279	76368	2651093
280	76641	2650814
281	76929	2651081
282	77225	2651582
283	77509	2651710
284	77637	2646487
285	77936	2647128
286	78184	2646025
287	78365	2642650
